station,water_depth_ft,slope_decimal,soil_shear_lb_ft2,sediment_transport_lb_s_410ft,sediment_transport_kg_s_m,velocity_ms,condition,biocontrol,ponding_depth_m,water_depth_m
1,0.94,0.009,0.53,20.64,0.24,0.75,precontrol_baseline,0,0.0,0.286512
2,1.24,0.0067,0.499,15.9,0.19,0.63,precontrol_baseline,0,0.0,0.377952
3,1.44,0.012,1.061,84.19,1.0,1.07,precontrol_baseline,0,0.0,0.438912
4,1.15,0.0095,0.69,35.27,0.42,0.89,precontrol_baseline,0,0.0,0.35052
5,1.05,0.009,0.561,23.17,0.28,0.81,precontrol_baseline,0,0.0,0.32004000000000005
6,0.66,0.007,0.312,6.989,0.08,0.63,precontrol_baseline,0,0.0,0.201168
7,1.32,0.011,0.936,65.46,0.78,1.01,precontrol_baseline,0,0.0,0.402336
8,0.98,0.0076,0.437,13.95,0.16,0.63,precontrol_baseline,0,0.0,0.298704
9,0.82,0.0056,0.312,6.89,0.08,0.23,precontrol_baseline,0,0.0,0.249936
10,0.52,0.021,0.68,34.61,0.41,1.51,precontrol_baseline,0,0.0,0.15849600000000003
11,0.98,0.013,0.811,48.92,0.58,1.05,precontrol_baseline,0,0.0,0.298704
12,0.82,0.014,0.686,34.86,0.41,0.85,precontrol_baseline,0,0.0,0.249936
13,0.98,0.0096,0.58,24.79,0.29,0.83,precontrol_baseline,0,0.0,0.298704
14,0.81,0.0096,0.48,16.86,0.2,0.97,precontrol_baseline,0,0.0,0.24688800000000002
15,0.72,0.0105,0.499,18.28,0.22,0.94,precontrol_baseline,0,0.0,0.219456
16,0.75,0.0112,0.499,18.28,0.22,1.07,precontrol_baseline,0,0.0,0.22860000000000003
17,1.21,0.011,0.811,48.91,0.58,0.9,precontrol_baseline,0,0.0,0.368808
18,1.08,0.0151,0.998,33.55,0.39,0.9,precontrol_baseline,0,0.0,0.32918400000000003
19,1.08,0.0132,0.874,29.38,0.35,0.97,precontrol_baseline,0,0.0,0.32918400000000003
20,1.09,0.0108,0.749,41.64,0.495,1.09,precontrol_baseline,0,0.0,0.332232
1,2.11,0.009,1.18,105.23,1.25,1.2,precontrol_ponding_1.0m,0,1.0,0.643128
2,3.2,0.0067,1.34,135.69,1.61,1.0,precontrol_ponding_1.0m,0,1.0,0.9753600000000001
3,2.0,0.012,2.4,302.62,3.6,1.5,precontrol_ponding_1.0m,0,1.0,0.6096
4,3.11,0.0095,1.84,256.01,3.05,0.9,precontrol_ponding_1.0m,0,1.0,0.947928
5,2.1,0.009,1.18,96.21,1.15,1.25,precontrol_ponding_1.0m,0,1.0,0.6400800000000001
6,1.09,0.007,0.48,16.4,0.2,1.4,precontrol_ponding_1.0m,0,1.0,0.332232
7,3.21,0.011,2.2,366.35,4.35,1.3,precontrol_ponding_1.0m,0,1.0,0.978408
8,1.12,0.0076,0.53,20.93,0.24,0.9,precontrol_ponding_1.0m,0,1.0,0.34137600000000007
9,1.01,0.0056,0.35,9.03,0.11,0.7,precontrol_ponding_1.0m,0,1.0,0.307848
10,1.21,0.021,1.58,189.29,2.25,2.0,precontrol_ponding_1.0m,0,1.0,0.368808
11,1.21,0.013,0.98,72.25,0.86,1.3,precontrol_ponding_1.0m,0,1.0,0.368808
12,2.21,0.014,1.93,281.75,3.35,1.2,precontrol_ponding_1.0m,0,1.0,0.673608
13,2.02,0.0096,1.21,110.37,1.31,1.0,precontrol_ponding_1.0m,0,1.0,0.615696
14,3.21,0.0096,1.92,278.83,3.32,1.1,precontrol_ponding_1.0m,0,1.0,0.978408
