station,breadth_m,depth1_m,depth2_m,avg_depth_m,slope_pct,design_breadth_m,design_depth_m
1,1.78,2.1,2.2,2.15,0.9,1.5,0.5
2,1.95,2.2,2.01,2.1,0.67,1.5,0.5
3,1.92,1.83,1.85,1.84,1.2,1.5,0.5
4,2.01,1.95,1.9,1.92,0.95,1.5,0.5
5,2.2,2.8,2.86,2.83,0.9,1.5,0.5
6,2.3,2.5,2.54,2.52,0.7,1.5,0.5
7,1.94,3.0,2.54,2.77,1.1,1.5,0.5
8,2.7,2.2,2.23,2.22,0.76,1.5,0.5
9,2.3,2.5,2.23,2.37,0.56,1.5,0.5
10,2.2,2.3,2.31,2.31,2.1,1.5,0.5
11,1.9,1.95,1.95,1.95,1.3,1.5,0.5
12,3.0,1.67,1.65,1.66,1.4,1.5,0.5
13,2.2,1.53,1.53,1.53,0.96,1.5,0.5
14,1.98,1.65,1.96,1.96,0.96,1.5,0.5
15,2.01,1.83,1.84,1.84,1.05,1.5,0.5
16,2.23,1.76,1.67,1.72,1.12,1.5,0.5
17,2.52,1.1,1.1,1.1,1.1,1.5,0.5
18,3.35,1.23,1.2,1.22,1.51,1.5,0.5
19,2.96,1.76,1.7,1.73,1.32,1.5,0.5
20,2.81,2.01,2.01,2.01,1.08,1.5,0.5
