station,water_depth_ft,slope_decimal,soil_shear_lb_ft2,sediment_transport_lb_s_410ft,sediment_transport_kg_s_m,velocity_ms
1,0.94,0.009,0.53,20.64,0.24,0.75
2,1.24,0.0067,0.499,15.9,0.19,0.63
3,1.44,0.012,1.061,84.19,1.0,1.07
4,1.15,0.0095,0.69,35.27,0.42,0.89
5,1.05,0.009,0.561,23.17,0.28,0.81
6,0.66,0.007,0.312,6.989,0.08,0.63
7,1.32,0.011,0.936,65.46,0.78,1.01
8,0.98,0.0076,0.437,13.95,0.16,0.63
9,0.82,0.0056,0.312,6.89,0.08,0.23
10,0.52,0.021,0.68,34.61,0.41,1.51
11,0.98,0.013,0.811,48.92,0.58,1.05
12,0.82,0.014,0.686,34.86,0.41,0.85
13,0.98,0.0096,0.58,24.79,0.29,0.83
14,0.81,0.0096,0.48,16.86,0.2,0.97
15,0.72,0.0105,0.499,18.28,0.22,0.94
16,0.75,0.0112,0.499,18.28,0.22,1.07
17,1.21,0.011,0.811,48.91,0.58,0.9
18,1.08,0.0151,0.998,33.55,0.39,0.9
19,1.08,0.0132,0.874,29.38,0.35,0.97
20,1.09,0.0108,0.749,41.64,0.495,1.09
