station,water_depth_ft,slope_decimal,soil_shear_lb_ft2,sediment_transport_lb_s_410ft,sediment_transport_kg_s_m,velocity_ms
1,2.11,0.009,1.18,105.23,1.25,1.2
2,3.2,0.0067,1.34,135.69,1.61,1.0
3,2.0,0.012,2.4,302.62,3.6,1.5
4,3.11,0.0095,1.84,256.01,3.05,0.9
5,2.1,0.009,1.18,96.21,1.15,1.25
6,1.09,0.007,0.48,16.4,0.2,1.4
7,3.21,0.011,2.2,366.35,4.35,1.3
8,1.12,0.0076,0.53,20.93,0.24,0.9
9,1.01,0.0056,0.35,9.03,0.11,0.7
10,1.21,0.021,1.58,189.29,2.25,2.0
11,1.21,0.013,0.98,72.25,0.86,1.3
12,2.21,0.014,1.93,281.75,3.35,1.2
13,2.02,0.0096,1.21,110.37,1.31,1.0
14,3.21,0.0096,1.92,278.83,3.32,1.1
15,2.01,0.0105,1.32,131.45,1.56,1.3
16,0.98,0.0112,0.68,34.61,0.41,1.2
17,2.21,0.011,1.51,172.19,2.05,1.0
18,1.09,0.0151,1.03,79.85,0.95,1.1
19,1.31,0.0132,1.08,87.84,1.05,1.3
20,2.1,0.0108,1.42,152.21,1.81,1.3
