station,water_depth_ft,slope_decimal,soil_shear_lb_ft2,sediment_transport_lb_s_410ft,sediment_transport_kg_s_m,velocity_ms
1,2.31,0.009,1.3,116.39,1.39,1.5
2,3.46,0.0067,1.45,144.93,1.72,1.01
3,3.51,0.012,2.62,474.77,5.64,1.63
4,3.22,0.0095,1.91,251.51,2.99,0.98
5,2.2,0.009,1.24,105.85,1.26,1.2
6,1.25,0.007,0.55,20.59,0.24,1.4
7,3.0,0.011,2.06,320.97,3.87,1.2
8,1.01,0.0076,0.47,15.28,0.18,1.0
9,2.95,0.0056,1.03,72.91,0.87,0.98
10,1.42,0.021,1.86,238.88,2.84,2.1
11,2.5,0.013,2.03,284.12,3.38,1.4
12,2.4,0.014,2.1,303.83,3.61,1.3
13,2.2,0.0096,1.32,120.02,1.43,0.98
14,3.2,0.0096,1.92,254.58,3.03,1.2
15,2.1,0.0105,1.38,131.23,1.56,1.1
16,1.0,0.0112,0.69,32.97,0.39,1.2
17,2.3,0.011,1.58,172.19,2.04,0.7
18,1.2,0.0151,1.13,87.83,1.04,1.0
19,1.3,0.0132,1.07,78.71,0.93,1.2
20,2.1,0.0108,1.4,95.28,1.33,1.01
